Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
Azure storage supports multiple storage tiers for Blob storage. Which of the following is NOT a valid storage tier?;Cold;Archive;Glacier;Cool;C;Glacier is not a valid Azure storage tier. Azure Blob storage offers several access tiers based on access frequency to optimize costs. The Hot tier is for frequently accessed data, the Cool tier is for infrequent access, and the Archive tier is for data rarely accessed. Glacier is a tier from AWS and not a valid Azure Blob tier. Learn more at: https://learn.microsoft.com/en-us/azure/storage/blobs/storage-blob-storage-tiers.
Which Microsoft-native tools can be used to deploy resources to Azure?;ARM templates, Bicep files, Azure PowerShell, and Azure CLI;ARM templates, Bicep files, Pulumi, Saltstack;Terraform and ARM templates;Azure DevOps only;A;ARM templates, Bicep files, Azure PowerShell, and Azure CLI are Microsoft's native tools for deploying and managing Azure resources. These tools allow automation of infrastructure provisioning using Infrastructure-as-Code (IaC) methodologies. ARM templates use JSON, while Bicep is a more user-friendly abstraction layer over ARM templates.
Which of the following is NOT a valid requirement to configure and test self-service password reset for cloud-only users?;An account with Global Administrator or Authentication Policy Administrator privileges;A Microsoft Entra tenant with at least a Microsoft Entra ID Free license;A Microsoft Entra tenant with at least a Microsoft Entra ID P1 license;A non-administrator user account;D;Admins are always enabled for self-service password reset (SSPR), so a non-administrator user account is not a valid requirement for testing SSPR. SSPR enables users to reset their passwords without the need for IT intervention. Learn more at: https://learn.microsoft.com/en-us/azure/active-directory/authentication/concept-sspr.
Which of the following is required to deploy Azure Bastion?;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger;A subnet named AzureBastion with a subnet mask of /26 or smaller;Azure Firewall with the Premium SKU;Azure Firewall with the Standard SKU;A;To deploy Azure Bastion, you must configure a subnet named AzureBastionSubnet with a subnet mask of /26 or larger. This subnet ensures secure RDP/SSH access to your VMs without exposing them to the public internet. Learn more at: https://learn.microsoft.com/en-us/azure/bastion/tutorial-create-host-portal#prerequisites.
Which of the following scopes can you assign Azure (RBAC) roles?;Entra Tenants administrative units or individual Entra objects like applications;Management groups subscriptions resource groups and individual resources;Management groups subscriptions and resource groups;Entra Tenants administrative units and individual subscriptions;B;Azure Role-Based Access Control (RBAC) roles can be assigned at multiple scopes, including management groups, subscriptions, resource groups, and individual resources. These assignments allow for granular control of permissions across an Azure environment.
Which of the following statements is NOT true about resource locks?;You can lock an Azure subscription, resource group, or individual resource.;When you apply a lock at a scope, all resources within that scope inherit the same lock.;Only the Owner, User Access Administrator, and Contributor roles can create and delete management locks.;Data plane operations like data transactions are not impacted by resource locks.;C;Only the Owner and the User Access Administrator roles can create and delete management locks. Contributor cannot create and delete management locks.
You are planning to configure object replication for block blobs. Which of the following is not a valid requirement?;The source and destination accounts must be either general-purpose v2 or premium block blob accounts;You must be assigned the Owner role on the storage account or higher in the scope;Blob versioning is enabled for both the source and destination account;The blob change feed must be enabled for the source account;B;To configure object replication for block blobs, you must have Owner or higher role permissions on the storage account. Blob versioning is necessary for replication between source and destination accounts. Learn more at: https://learn.microsoft.com/en-us/azure/storage/blobs/object-replication-overview.
You create a custom Azure policy definition and save it to a subscription named Sub1. Which of the following scopes can you assign the policy?;Only Resource Groups in Sub1;Anywhere in the management hierarchy;Resource Groups in Sub1 and Sub1;Only Sub1;B;Azure Policy allows you to assign policies at different scopes within the management hierarchy, including resource groups, subscriptions, and management groups. This enables centralized management of resources to ensure compliance across multiple environments. Learn more at: https://learn.microsoft.com/en-us/azure/governance/policy/concepts/scope.
You have an application that is accessing a storage account using storage account access keys. The application is configured to use key 1. You plan to rotate the storage account access keys. Which steps should you take and in which order?;Update the application to use key 2, regenerate key 1, update the application to use key 1, and then regenerate key 2;Regenerate key 1 and update the application to use the new key;Update the application to use key 2, regenerate key 1 and then update the application to use key 1;Regenerate key 2;A;To rotate storage account access keys, first update the application to use key 2, regenerate key 1, update the app to use key 1 again, and then regenerate key 2. This ensures seamless operation without downtime.
You have been asked to ensure that all Azure resources associated with a Human Resources (HR) workload are marked as confidential. What should you use?;Microsoft Entra groups;Administrative Units;Tags;Resource locks;C;Tags are key-value pairs that help you identify resources based on data to your organization.
You need to ensure that all public network access to an Azure storage account is disabled. What should you configure?;Private endpoint connections;Microsoft Defender for Cloud;Firewalls and virtual networks;Containers;C;To disable public network access to an Azure storage account, configure the firewalls and virtual networks settings. This ensures that only private endpoints or specific networks can access the storage. Learn more at: https://learn.microsoft.com/en-us/azure/storage/common/storage-network-security.
You need to provide secure delegated access to a blob in an Azure storage account. Which of the following should you use?;A stored access policy;A storage account access key;A shared access signature;An Azure file share;C;A Shared Access Signature (SAS) provides time-limited, secure delegated access to resources in Azure storage accounts, such as blobs. Learn more at: https://learn.microsoft.com/en-us/azure/storage/common/storage-sas-overview.
You plan to delegate access to a storage account using a shared access signature (SAS). You need to set an expiration time that you may need to extend. Which of the following do you configure?;A storage account access key;An expiration policy for shared access signatures;A stored access policy;A user delegation SAS;C;A stored access policy provides server-side control over shared access signatures (SAS), allowing you to modify permissions, start time, or expiration. Learn more at: https://learn.microsoft.com/en-us/azure/storage/common/storage-sas-overview.
Azure Storage provides four storage services. What are they?;Blobs, messages, databases, and files;Containers, tables, queues, and files;Blobs, tables, queues, and files;Disks, tables, queues, and files;C;Azure Storage services include Blobs (unstructured data), Tables (NoSQL data), Queues (message storage), and Files (managed file shares). These services offer a wide range of storage solutions for different use cases. Learn more at: https://learn.microsoft.com/en-us/azure/storage/common/storage-introduction.
Azure storage supports multiple storage tiers for Blob storage. Which of the following is NOT a valid storage tier?;Cold;Archive;Glacier;Cool;C;Glacier is not a valid Azure storage tier. Azure Blob storage offers several access tiers to optimize costs based on data access patterns, including Hot, Cool, and Archive tiers. The Hot tier is for frequently accessed data, the Cool tier is for infrequently accessed data, and the Archive tier is for rarely accessed data. To learn more, refer to https://www.serversimply.com/blog/choosing-the-right-data-storage-solution.
Which Microsoft-native tools can be used to deploy resources to Azure?;ARM templates, Bicep files, Azure PowerShell, and Azure CLI;ARM templates, Bicep files, Pulumi, Saltstack;Terraform and ARM templates;Azure DevOps only;A;ARM templates, Bicep files, Azure PowerShell, and Azure CLI are Microsoft's native tools for deploying and managing Azure resources. These tools allow automation of infrastructure provisioning using Infrastructure-as-Code (IaC) methodologies. ARM templates use JSON, while Bicep is a more user-friendly abstraction layer over ARM templates.
Which of the following is NOT a valid requirement to configure and test self-service password reset for cloud-only users?;An account with Global Administrator or Authentication Policy Administrator privileges;A Microsoft Entra tenant with at least a Microsoft Entra ID Free license;A Microsoft Entra tenant with at least a Microsoft Entra ID P1 license;A non-administrator user account;C;Microsoft Entra ID P1 is required for self-service password reset/change/unlock and on-premises write-back. This ensures that users can reset their passwords without needing to contact IT support, improving productivity and security.
Which of the following is required to deploy Azure Bastion?;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger;A subnet named AzureBastion with a subnet mask of /26 or smaller;Azure Firewall with the Premium SKU;Azure Firewall with the Standard SKU;A;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger is required when you deploy Azure Bastion. Reference: Deploy Azure Bastion - https://learn.microsoft.com/azure/bastion/tutorial-create-host-portal#prerequisites.
Which of the following scopes can you assign Azure (RBAC) roles?;Entra Tenants administrative units or individual Entra objects like applications;Management groups subscriptions resource groups and individual resources;Management groups subscriptions and resource groups;Entra Tenants;B;Azure RBAC role assignments can be scoped to management groups, subscriptions, resource groups, and individual resources only (but that's enough inheritance structure).
Which of the following statements is NOT true about resource locks?;You can lock an Azure subscription, resource group, or individual resource.;When you apply a lock at a scope, all resources within that scope inherit the same lock.;Only the Owner, User Access Administrator, and Contributor roles can create and delete management locks.;Data plane operations like data transactions are not impacted by resource locks.;C;Only the Owner and the User Access Administrator roles can create and delete management locks. Contributor cannot create and delete management locks.
You are planning to configure object replication for block blobs. Which of the following is not a valid requirement?;The source and destination accounts must be either general-purpose v2 or premium block blob accounts;You must be assigned the Owner role on the storage account or higher in the scope;Blob versioning is enabled for both the source and destination account;The blob change feed must be enabled for the source account;B;The blob change feed must be enabled for the source account, but it does not need to be enabled on the destination account. Object replication helps improve data availability and disaster recovery by asynchronously copying blobs from one storage account to another.
You create a custom Azure policy definition and save it to a subscription named Sub1. Which of the following scopes can you assign the policy?;Only Resource Groups in Sub1;Anywhere in the management hierarchy;Resource Groups in Sub1 and Sub1;Only Sub1;C;Resources must be within the resource hierarchy of the definition location to target for assignment. Both Resource Groups within Sub1 and Sub1 can be assigned the policy. This ensures that policies are applied consistently across the organization.
You have an application that is accessing a storage account using storage account access keys. The application is configured to use key 1. You plan to rotate the storage account access keys. Which steps should you take and in which order?;Update the application to use key 2 regenerate key 1 update the application to use key 1 and then regenerate key 2;Regenerate key 1 and update the application to use the new key;Update the application to use key 2 regenerate key 1 and then update the application to use key 1;Regenerate key 2;A;This series of steps would successfully rotate the storage account access keys. Key rotation helps enhance security by periodically changing the access keys used by applications to access storage accounts.
You have been asked to ensure that all Azure resources associated with a Human Resources (HR) workload are marked as confidential. What should you use?;Microsoft Entra groups;Administrative Units;Tags;Resource locks;C;Tags are key-value pairs that help you identify resources based on data to your organization.
You need to ensure that all public network access to an Azure storage account is disabled. What should you configure?;Private endpoint connections;Microsoft Defender for Cloud;Firewalls and virtual networks;Containers;C;You can configure the firewalls and virtual networks networking settings on the storage account to prevent public network access. Reference: Configure Azure Storage firewalls and virtual networks - https://learn.microsoft.com/azure/storage/common/storage-network-security?tabs=azure-portal.
You need to provide secure delegated access to a blob in an Azure storage account. Which of the following should you use?;A stored access policy;A storage account access key;A shared access signature;An Azure file share;C;Shared access signatures can be used to provide secure delegated access to Azure storage accounts. Reference: Grant limited access to Azure Storage resources using shared access signatures - https://learn.microsoft.com/azure/storage/common/storage-sas-overview.
You plan to delegate access to a storage account using a shared access signature (SAS). You need to set an expiration time that you may need to extend. Which of the following do you configure?;A storage account access key;An expiration policy for shared access signatures;A stored access policy;A user delegation SAS;C;A stored access policy provides additional control over shared access signatures. Reference: Create a stored access policy - https://learn.microsoft.com/azure/storage/storage-shared-access-signature-policies.
Azure Storage provides four storage services. What are they?;Blobs messages databases and files;Containers tables queues and files;Blobs tables queues and files;Disks tables queues and files;C;Azure storage provides unstructured blob storage, non-relational table storage, message storage with queues, and network share file storage with files.
How does Azure Policy enforce compliance?;Policies check resources against defined rules and parameters;Policies apply restrictions to user roles;Policies only audit resource compliance;Policies provide no enforcement capabilities;A;Policies check resources against defined rules and parameters.
If you want to deploy an Azure VM that provides high availability which storage redundancy option below should you choose?;Locally redundant storage (LRS);Zone-redundant storage (ZRS);Geo-redundant storage (GRS);Read-access geo-redundant storage (RA-GRS);B;Zone-redundant storage (ZRS) ensures that your virtual machine is hosted across multiple datacenters in a region.
Network Security Group rules are processed in which order?;Rules are processed based on source or destination first less specific source or destination values are processed first;Rules are processed based on source or destination first more specific source or destination values are processed first;Rules with lower priority numbers are processed first. For example 100 is processed before 110;Rules with higher priority numbers are processed first. For example 110 is processed before 100;C;Network security group rules are processed in priority order. Higher numbers are processed after lower numbers.
Which of the following tools can help you manage hardware and software requirements for the Microsoft Azure integration?;Azure Advisor;Azure Monitor;Cost Management;Azure Policy;A;Azure Advisor provides recommendations that can help you optimize your Azure resources across key areas such as cost, performance, security, and availability. The tool analyzes your Azure environment and suggests actions to improve efficiency and reduce costs. It provides real-time insights, making it easier to manage infrastructure while ensuring best practices are followed. Azure Monitor, Cost Management, and Azure Policy serve different purposes (monitoring, cost tracking, and policy enforcement respectively) and are not focused on resource optimization.
You are tasked with deploying a policy using Azure Policy. The policy must restrict resources to a certain suffix. For example resources can only be created in a specific region. Which of the following actions must be completed first?;Create a new policy definition;Assign a policy targeting a specific scope;Modify existing role assignments;Deploy resources as specified by your policy;A;Create a new policy definition.
You implement Azure App Service where you require a custom domain and SSL for your web app. Which pricing tier should you select?;Free plan;Standard plan;Basic plan;Premium plan;B;Standard plan or higher is required for custom domains. All other plans do not support custom domains.
You need to design an Azure backup solution. Which strategy should you implement for data protection?;Georeliant backup storage solutions;Fast recovery time objectives and recovery point objectives;Backup to a secondary Azure region;Full archive and restore capability;C;The correct strategy for Azure backup solutions, especially for disaster recovery and business continuity, is to implement a backup to a secondary Azure region. Azure offers geo-redundant storage (GRS) and read-access geo-redundant storage (RA-GRS) that ensure your data is replicated in a secondary Azure region, providing robust protection against data loss. This strategy ensures cross-region replication of data, allowing recovery from a disaster affecting the primary region. The key elements include: - **Geo-Redundancy**: Data is copied to a secondary region, providing high availability and durability. - **Recovery Point Objective (RPO)**: Defines the maximum acceptable amount of data loss measured in time. With a secondary region backup, the RPO can be minimized to minutes. - **Recovery Time Objective (RTO)**: Defines how quickly services can be restored. Azure backup solutions minimize RTO by leveraging fast recovery times. - **Encryption and Compliance**: Data is encrypted both at rest and in transit, and meets various regulatory requirements for compliance. This approach provides a robust disaster recovery strategy, ensuring business continuity in the event of regional outages or failures. More details can be found in the official documentation: https://learn.microsoft.com/en-us/azure/backup/backup-overview
Azure storage supports multiple storage tiers for Blob storage. Which of the following is NOT a valid storage tier?;Cold;Archive;Glacier;Cool;C;Glacier is not a valid Azure storage tier. Azure Blob storage offers several access tiers to optimize costs based on data access patterns, including Hot, Cool, and Archive tiers. The Hot tier is for frequently accessed data, the Cool tier is for infrequently accessed data, and the Archive tier is for rarely accessed data. To learn more, refer to https://www.serversimply.com/blog/choosing-the-right-data-storage-solution.
Which Microsoft-native tools can be used to deploy resources to Azure?;ARM templates, Bicep files, Azure PowerShell, and Azure CLI;ARM templates, Bicep files, Pulumi, Saltstack;Terraform and ARM templates;Azure DevOps only;A;ARM templates, Bicep files, Azure PowerShell, and Azure CLI are Microsoft's native tools for deploying and managing Azure resources. These tools allow automation of infrastructure provisioning using Infrastructure-as-Code (IaC) methodologies. ARM templates use JSON, while Bicep is a more user-friendly abstraction layer over ARM templates.
Which of the following is NOT a valid requirement to configure and test self-service password reset for cloud-only users?;An account with Global Administrator or Authentication Policy Administrator privileges;A Microsoft Entra tenant with at least a Microsoft Entra ID Free license;A Microsoft Entra tenant with at least a Microsoft Entra ID P1 license;A non-administrator user account;D;A non-administrator user account because Admins are always enabled for self-service password reset. To configure and test self-service password reset (SSPR) for cloud-only users, you need an account with Global Administrator or Authentication Policy Administrator privileges, and a Microsoft Entra tenant with at least a Microsoft Entra ID P1 license. Non-administrator user accounts are not required for SSPR configuration. For more information, see https://learn.microsoft.com/en-us/azure/active-directory/authentication/tutorial-enable-sspr.
Which of the following is required to deploy Azure Bastion?;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger;A subnet named AzureBastion with a subnet mask of /26 or smaller;Azure Firewall with the Premium SKU;Azure Firewall with the Standard SKU;A;A subnet named AzureBastionSubnet with a subnet mask of /26 or larger is required when you deploy Azure Bastion. Azure Bastion provides secure and seamless RDP and SSH connectivity to your virtual machines directly in the Azure portal over SSL. For more details, visit https://learn.microsoft.com/en-us/azure/bastion/tutorial-create-host-portal#prerequisites.
Which of the following scopes can you assign Azure (RBAC) roles?;Entra Tenants administrative units or individual Entra objects like applications.;Management groups subscriptions resource groups and individual resources.;Management groups subscriptions and resource groups.;Entra Tenants;B;Azure Role-Based Access Control (RBAC) allows you to assign roles at different scopes, including management groups, subscriptions, resource groups, and individual resources. This hierarchical structure helps manage access permissions efficiently across various levels of the Azure environment. For more information, see https://learn.microsoft.com/en-us/azure/role-based-access-control/overview.
Which of the following statements is NOT true about resource locks?;You can lock an Azure subscription, resource group, or individual resource.;When you apply a lock at a scope, all resources within that scope inherit the same lock.;Only the Owner, User Access Administrator, and Contributor roles can create and delete management locks.;Data plane operations like data transactions are not impacted by resource locks.;C;Only the Owner and the User Access Administrator roles can create and delete management locks. Contributor cannot create and delete management locks.
You are planning to configure object replication for block blobs. Which of the following is not a valid requirement?;The source and destination accounts must be either general-purpose v2 or premium block blob accounts.;You must be assigned the Owner role on the storage account or higher in the scope.;Blob versioning is enabled for both the source and destination account.;The blob change feed must be enabled for the source account.;C;The blob change feed must be enabled for the source account to support object replication. Object replication asynchronously copies block blobs between a source storage account and a destination account. Blob versioning must be enabled for both accounts, and the blob change feed must be enabled for the source account. For more information, see https://learn.microsoft.com/en-us/azure/storage/blobs/object-replication-overview.
You create a custom Azure policy definition and save it to a subscription named Sub1. Which of the following scopes can you assign the policy?;Only Resource Groups in Sub1.;Anywhere in the management hierarchy.;Resource Groups in Sub1 and Sub1.;Only Sub1.;C;Azure Policy allows you to assign policies at various scopes, including management groups, subscriptions, resource groups, and individual resources. This flexibility helps enforce compliance and manage resources effectively across different levels of the Azure environment. For more details, visit https://learn.microsoft.com/en-us/azure/governance/policy/overview.
You have an application that is accessing a storage account using storage account access keys. The application is configured to use key 1. You plan to rotate the storage account access keys. Which steps should you take and in which order?;Update the application to use key 2 regenerate key 1 update the application to use key 1 and then regenerate key 2;Regenerate key 1 and update the application to use the new key.;Update the application to use key 2 regenerate key 1 and then update the application to use key 1.;Regenerate key 2;A;To rotate storage account access keys without downtime, follow these steps: 1. Update the application to use key 2. 2. Regenerate key 1. 3. Update the application to use key 1. 4. Regenerate key 2. This ensures continuous access while rotating the keys. For more information, see https://learn.microsoft.com/en-us/azure/storage/common/storage-account-keys-manage.
How does Azure Policy enforce compliance?;Policies check resources against defined rules and parameters;Policies apply restrictions to user roles;Policies only audit resource compliance;Policies provide no enforcement capabilities;A;Azure Policy enforces compliance through multiple mechanisms and layers: 1) Real-time Evaluation: Policies evaluate resources against defined rules during creation/modification • Automatically checks compliance with business rules • Enforces standards during deployment • Prevents non-compliant resource creation 2) Policy Effects: • Deny: Blocks non-compliant deployments • Audit: Logs compliance violations • Append: Adds required properties • DeployIfNotExists: Creates supporting resources • Modify: Changes resource properties 3) Continuous Monitoring: • Regular compliance scans • Automated remediation • Compliance reporting • Resource tracking 4) Integration Points: • Works with Azure RBAC • Connects to Azure Monitor • Feeds compliance dashboards • Supports Azure Management Groups 5) Business Impact: • Ensures regulatory compliance • Standardizes configurations • Controls costs • Maintains security policies 6) Technical Implementation: • JSON-based definitions • Parameterized rules • Scoped assignments • Exemption handling.
Which of the following statements must you always consider when you define a custom Azure Policy?;The policy logic and its enforcement mechanism;Policy Assignment Scope It is decided at the resource level;Policy Definition Attributes These help to understand the policies applicability;All of the above;D;When defining custom Azure Policies consider: 1) Policy Logic & Enforcement: • Evaluation criteria and conditions • Resource property assessment • Effect selection (Deny/Audit/Modify) • Impact analysis on operations 2) Assignment Scope Considerations: • Management group implications • Subscription-level effects • Resource group boundaries • Individual resource targeting 3) Definition Attributes: • Policy parameters • API versions • Resource provider compatibility • Exception handling 4) Implementation Strategy: • Testing methodology • Deployment phases • Monitoring setup • Remediation planning 5) Business Alignment: • Compliance requirements • Cost implications • Security objectives • Operational impact 6) Technical Best Practices: • Use parameterization • Implement proper testing • Document thoroughly • Regular review cycles.
You need to design an Azure backup solution. Which strategy should you implement for data protection?;Georeliant backup storage solutions;Fast recovery time objectives and recovery point objectives;Backup to a secondary Azure region;Full archive and restore capability;C;The correct strategy for Azure backup solutions, especially for disaster recovery and business continuity, is to implement a backup to a secondary Azure region. Azure offers geo-redundant storage (GRS) and read-access geo-redundant storage (RA-GRS) that ensure your data is replicated in a secondary Azure region, providing robust protection against data loss. This strategy ensures cross-region replication of data, allowing recovery from a disaster affecting the primary region. The key elements include: - **Geo-Redundancy**: Data is copied to a secondary region, providing high availability and durability. - **Recovery Point Objective (RPO)**: Defines the maximum acceptable amount of data loss measured in time. With a secondary region backup, the RPO can be minimized to minutes. - **Recovery Time Objective (RTO)**: Defines how quickly services can be restored. Azure backup solutions minimize RTO by leveraging fast recovery times. - **Encryption and Compliance**: Data is encrypted both at rest and in transit, and meets various regulatory requirements for compliance. This approach provides a robust disaster recovery strategy, ensuring business continuity in the event of regional outages or failures. More details can be found in the official documentation: https://learn.microsoft.com/en-us/azure/backup/backup-overview
