Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
When you are implementing a Software as a Service (SaaS) solution  you are responsible for;configuring high availability.;defining scalability rules.;installing the SaaS solution.;configuring the SaaS solution.;D;In a SaaS model  the user is typically only responsible for configuring the SaaS solution to meet their specific needs. The cloud provider manages all other aspects including high availability  scalability  and installation. SaaS offers the least amount of management for the end user  with the provider handling the underlying infrastructure  middleware  and software. Users simply access and use the software  usually through a web browser  on a pay-as-you-go basis. This allows organizations to utilize sophisticated software solutions without the complexity of installation  maintenance  and infrastructure management.
You have an on-premises network that contains several servers. You plan to migrate all the servers to Azure. You need to recommend a solution to ensure that some of the servers are available if a single Azure data center goes offline for an extended period. What should you include in the recommendation?;fault tolerance Most Voted;elasticity;scalability;low latency;A;Fault tolerance is the ability of a system to continue to function in the event of a failure of some of its components. In this question  you could have servers that are replicated across datacenters. Availability zones expand the level of control you have to maintain the availability of the applications and data on your VMs. Availability Zones are unique physical locations within an Azure region. Each zone is made up of one or more datacenters equipped with independent power  cooling  and networking. To ensure resiliency  there are a minimum of three separate zones in all enabled regions. The physical separation of Availability Zones within a region protects applications and data from datacenter failures. With Availability Zones  Azure offers industry best 99.99% VM uptime SLA. By architecting your solutions to use replicated VMs in zones  you can protect your applications and data from the loss of a datacenter. If one zone is compromised  then replicated apps and data are instantly available in another zone.
What are two characteristics of the public cloud?;dedicated hardware  unsecured connections;limited storage;metered pricing;self-service management; D;With the public cloud  you get pay-as-you-go pricing – you pay only for what you use  no CapEx costs. With the public cloud  you have self-service management. You are responsible for the deployment and configuration of the cloud resources such as virtual machines or websites. The underlying hardware that hosts the cloud resources is managed by the cloud provider. Incorrect Answers: A: You don't have dedicated hardware. The underlying hardware is shared so you could have multiple customers using cloud resources hosted on the same physical hardware. B: Connections to the public cloud are secure. C: Storage is not limited. You can have as much storage as you like. References: https://docs.microsoft.com/en-gb/learn/modules/principles-cloud-computing/4-cloud-deployment-models
What are two characteristics of the public cloud?;dedicated hardware   unsecured connections;limited storage;metered pricing;self-service management; E;With the public cloud  you get pay-as-you-go pricing – you pay only for what you use  no CapEx costs. With the public cloud  you have self-service management. You are responsible for the deployment and configuration of the cloud resources such as virtual machines or websites. The underlying hardware that hosts the cloud resources is managed by the cloud provider. Incorrect Answers: A: You don't have dedicated hardware. The underlying hardware is shared so you could have multiple customers using cloud resources hosted on the same physical hardware. B: Connections to the public cloud are secure. C: Storage is not limited. You can have as much storage as you like. References: https://docs.microsoft.com/en-gb/learn/modules/principles-cloud-computing/4-cloud-deployment-models
An organization that hosts its infrastructure in  _______________ no longer requires a data center.;in a private cloud;in a hybrid cloud;in the public cloud;on a Hyper-V host;C;A private cloud is hosted in your datacenter. Therefore  you cannot close your datacenter if you are using a private cloud. A public cloud is hosted externally  for example  in Microsoft Azure. An organization that hosts its infrastructure in a public cloud can close its data center. Public cloud is the most common deployment model. In this case  you have no local hardware to manage or keep up-to-date – everything runs on your cloud provider's hardware. Microsoft Azure is an example of a public cloud provider. Public cloud In a private cloud  you create a cloud environment in your own datacenter and provide self-service access to compute resources to users in your organization. This offers a simulation of a public cloud to your users  but you remain completely responsible for the purchase and maintenance of the hardware and software services you provide. Reference: https://docs.microsoft.com/en-gb/learn/modules/principles-cloud-computing/4-cloud-deployment-models
Azure provides flexibility between capital expenditure (CapEx) and operational expenditure (OpEx).;Yes;No;Not enough info;Ambiguous scenario;A;Azure's cloud model allows organizations to shift from traditional CapEx IT expenses to OpEx  providing financial flexibility. This aligns with the as a Service model of cloud computing.
If you create two Azure virtual machines that use the B2S size  each virtual machine will always generate the same monthly costs.;Yes;No;Not enough information;Ambiguous scenario;B;Even with the same size (B2S) virtual machines can have different configurations especially in terms of storage. This can lead to different monthly costs despite having the same compute size.
HOTSPOT - To complete the sentence  select the appropriate option in the answer area.;deploy a VPN.;pay monthly usage costs.;pay to transfer all the website data to Azure.;reduce the number of connections to the website.;B;When planning to migrate a public website to Azure  you must plan to pay monthly usage costs. This is because Azure uses the pay-as-you-go model.
Your company plans to migrate all its data and resources to Azure. The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company migration plan. Solution: You create an Azure App Service and Azure SQL databases. Does this meet the goal?;Yes;No;Not enough info;Ambiguous scenario;A;Azure App Service and Azure SQL databases are examples of Azure PaaS solutions. Therefore  this solution does meet the goal.
Your company plans to migrate all its data and resources to Azure. The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company migration plan. Solution: You create an Azure App Service and Azure virtual machines that have Microsoft SQL Server installed. Does this meet the goal?;Yes;No;Deploy Azure Functions;Use Azure Blob Storage;B;Azure App Service is a PaaS (Platform as a Service) service. Azure virtual machines are an IaaS (Infrastructure as a Service) service  and a PaaS service. Therefore  this solution does meet the goal. Note: Like IaaS  PaaS includes infrastructure—servers  storage  and networking—but also middleware  development tools  business intelligence (BI) services  database management systems  and more. PaaS is designed to support the complete web application lifecycle: building  testing  deploying  managing  and updating. Reference: https://azure.microsoft.com/en-us/overview/what-is-paas/
Your company plans to migrate all its data and resources to Azure. The company's migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company migration plan. Solution: You create an Azure App Service and Azure Storage accounts. Does this meet the goal?;Yes;No;Use Azure Virtual Machines;Deploy Azure Data Lake;B;Azure App Service is a PaaS (Platform as a Service) solution. It allows developers to deploy web apps  APIs  and mobile backends without managing the underlying infrastructure  handling scalability  load balancing  and deployment seamlessly. Azure Storage Accounts  on the other hand  is primarily considered an IaaS (Infrastructure as a Service) offering because it provides basic storage capabilities like blob  queue  table  and file storage. It offers storage infrastructure but not the development platform environment like a typical PaaS solution. In summary: Azure App Service = PaaS Azure Storage Accounts = IaaS
When an Azure virtual machine is stopped  you continue to pay storage costs associated to the virtual machine.;Yes;No;A;Not enough information;Ambiguous scenario;When an Azure VM is stopped compute charges cease but storage costs continue. This includes costs for attached disks  diagnostic data storage  and VM backups.
What is Azure?;A programming language;A cloud computing platform;A database management system;An operating system;B;Azure is Microsoft's cloud computing platform commonly known throughout in the industry as CSPs (Cloud Service Provider). There're many more: from Amazon (AWS) Google Cloud Platform (GCP) IBM Cloud etch.
What is an Azure region?;A geographical area containing one or more data centers;A type of virtual machine;A networking protocol;A storage account type;A;An Azure region is a set of datacenters deployed within a latency-defined perimeter and connected through a dedicated regional low-latency network.
What is Azure Resource Manager?;A physical server in Azure datacenters;A virtual machine management tool;The deployment and management service for Azure;A database service in Azure;C;Azure Resource Manager is the deployment and management service for Azure. It provides a management layer that enables you to either create update and delete (CRUD standard) resources in your Azure account.
Cloud Computing is a delivery model for what four service types?;Storage + Analytics + Data + SaaS;Networking + Compute Power + Big Data + Fixed-Price Services;Networking + Compute Power + Storage + Analytics;Networking + Pay-as-you-go (PAYG) + Data + Parallel Computing;C;While Cloud Computing contains a number of service types the four most common ones by the definition are 'COMPUTE POWER' 'STORAGE''ANALYTICS''NETWORKING'.
A system's ability to scale dynamically is called:_________________;Agility;Elasticity;Scalability;Extensibility;B;When the system is elastic that means it can adjust its processing power to match the demand. This happens only when the system is able to allocate and deallocate resources dynamically.
Ability of the system to run for extended periods of time without any interruptions is called:_________________;Agility;Disaster Recovery;Fault Tolerance;High Availability;D;Availability talks about system uptime so the system is available to users/other applications. High Availability (HA) symply means that the system is designed and architected to run for very long periods of time.
What is Azure Active Directory?;A cloud-based identity and access management service;A virtual machine service;A storage solution;An IoT service;A;Azure Active Directory (AD) is a cloud-based identity and access management service which helps organizations manage user credentials and access to services.
Which Azure service is used for monitoring and managing the health of Azure resources?;Azure Portal;Azure Monitor;Azure Functions;Azure DevOps;B;Azure Monitor helps you track performance collect metrics and analyze logs for your Azure resources.
What is a benefit of cloud computing?;Higher upfront cost;On-demand scalability;Longer deployment time;Fixed resource allocation;B;Cloud computing offers on-demand scalability: meaning you can increase or decrease resources as needed without upfront costs.
What is the responsibility of the customer in an IaaS model?;Managing physical hardware;Managing networking;Managing virtual machines;Managing the hypervisor;C;In an IaaS (Infrastructure as a Service) model: the customer is responsible for managing virtual machines and applications while the cloud provider handles the physical infrastructure.
Which type of cloud is a combination of on-premises and public cloud?;Private Cloud;Public Cloud;Hybrid Cloud;Community Cloud;C;Hybrid cloud is a combination of on-premises infrastructure + private cloud services and public cloud services: enabling data and application portability.
What is the primary benefit of using a serverless architecture?;Reduced flexibility;Increased hardware costs;Automatic scaling;Fixed pricing;C;Serverless architectures automatically scale based on the demand thus reducing the need for manual intervention.
Which Azure service is used for hosting SQL databases?;Azure Cosmos DB;Azure Database for MySQL;Azure SQL Database;Azure Storage;C;Azure SQL Database is a fully managed platform as a service (PaaS) that supports SQL workloads.
Which Azure service provides a fully managed Kubernetes cluster?;Azure App Service;Azure Kubernetes Service (AKS);Azure Virtual Machines;Azure SQL Database;B;Azure Kubernetes Service (AKS) is a managed service that simplifies running Kubernetes on Azure without the need for deep container orchestration expertise.
What is the benefit of Azure Availability Zones?;Ensures data is stored in multiple regions;Ensures compliance with GDPR;Provides high availability by replicating resources in different zones;Increases networking speed;C;Availability Zones help achieve high availability by distributing resources across multiple datacenters in a region henceforth ensuring service resilience.
What is the role of Azure Traffic Manager?;Manage application performance;Distribute user traffic across different locations;Monitor storage resources;Automate resource scaling;B;Azure Traffic Manager distributes network traffic across different locations based on routing methods such as performance geographic location or priority.
What is the role of Azure Advisor?;Provides recommendations for optimizing cloud resources;Hosts machine learning models;Tracks the health of virtual machines;Creates Azure virtual networks;A;Azure Advisor provides personalized recommendations for optimizing your Azure resources for high availability security and performance.
Which service allows you to create and manage policies that enforce rules on your resources?;Azure Policy;Azure Governance;Azure Monitor;Azure Security Center;A;Azure Policy allows you to create assign and manage policies that enforce rules on your resources for compliance.
What is the purpose of Azure DevTest Labs?;Run SQL queries;Deploy virtual machines for testing environments;Monitor network performance;Store application logs;B;Azure DevTest Labs is a service that helps developers and testers quickly create environments in Azure while minimizing waste and controlling cost.
What does the Azure Service Level Agreement (SLA) guarantee?;Uptime of 100%;At least 99.9% availability;Unlimited storage capacity;Free customer support for all services;B;Azure SLAs typically guarantee at least 99.9% availability for its services. Ensures customers have access to reliable infrastructure.
Which Azure service is used to automate tasks and manage infrastructure as code?;Azure DevOps;Azure Automation;Azure Cognitive Services;Azure Monitor;B;Azure Automation provides a way to automate tasks manage configuration and handle infrastructure as code to reduce manual management.
Which Azure service is used for building deploying and managing APIs?;Azure Functions;Azure API Management;Azure DevOps;Azure Logic Apps;B;Azure API Management enables organizations to create publish and manage APIs in a secure and scalable environment.
What is the main benefit of using a content delivery network (CDN) in Azure?;Increases storage capacity;Improves security;Enhances application performance by caching content closer to users;Reduces cloud costs;C;A CDN caches content closer to end users improving the performance and reducing latency of web applications.
What is the benefit of using Azure Reserved Instances?;Pay-as-you-go pricing;Discounted pricing for long-term commitment;On-demand scaling;Reduced data transfer costs;B;Azure Reserved Instances provide significant discounts in exchange for a one- or three-year commitment to using specific virtual machines.
What does PaaS stand for?;Platform as a System;Platform as a Service;Product as a Service;Product and Application Service;B;Platform as a Service (PaaS) provides a platform that allows developers to build deploy and manage applications without worrying about the underlying infrastructure.
