Choice;CSV_File;Certification_Name
1;az900_questions.csv;AZ-900: Microsoft Azure Fundamentals
2;az104_questions.csv;AZ-104: Microsoft Azure Administrator
3;az204_questions.csv;AZ-204: Developing Solutions for Microsoft Azure
4;az305_questions.csv;AZ-305: Designing Microsoft Azure Infrastructure Solutions
5;az400_questions.csv;AZ-400: Designing and Implementing Microsoft DevOps Solutions
6;az500_questions.csv;AZ-500: Microsoft Azure Security Technologies
7;az700_questions.csv;AZ-700: Designing and Implementing Microsoft Azure Networking Solutions
8;az800_questions.csv;AZ-800: Administering Windows Server Hybrid Core Infrastructure
9;az140_questions.csv;AZ-140: Configuring and Operating Microsoft Azure Virtual Desktop
10;ms900_questions.csv;MS-900: Microsoft 365 Certified: Fundamentals
11;pl900_questions.csv;PL-900: Microsoft Certified: Power Platform Fundamentals
