Question;OptionA;OptionB;OptionC;OptionD;CorrectAnswer;Explanation
What is the purpose of the Microsoft practice assessment;Review content learned and get ready for the exam;Store data;Manage workflows;Analyze data;A;The purpose of the Microsoft practice assessment is to review content learned and get ready for the exam.
How many questions are in the SC-900 practice assessment;50;20;30;40;A;The SC-900 practice assessment consists of 50 questions.
What is the benefit of taking the practice assessment multiple times;Practice more and improve time management;Data storage;Project management;Cloud storage;A;The benefit of taking the practice assessment multiple times is to practice more and improve time management.
What type of questions are in the SC-900 practice assessment;Multiple-choice;True/False;Short answer;Essay;A;The SC-900 practice assessment consists of multiple-choice questions.
What is the purpose of the practice assessment report;Show how much time it took to complete the assessment;Store data;Manage workflows;Analyze data;A;The purpose of the practice assessment report is to show how much time it took to complete the assessment.
What is the benefit of using the practice assessment;Get used to question types and the exam UI;Data storage;Project management;Cloud storage;A;The benefit of using the practice assessment is to get used to question types and the exam UI.
What is the purpose of the practice assessment questions;Follow the same style and difficulty level as the exam;Store data;Manage workflows;Analyze data;A;The purpose of the practice assessment questions is to follow the same style and difficulty level as the exam.
What is the benefit of reviewing the practice assessment questions;Identify areas of improvement;Data storage;Project management;Cloud storage;A;The benefit of reviewing the practice assessment questions is to identify areas of improvement.
What is the purpose of the practice assessment;Test your skills with practice questions;Store data;Manage workflows;Analyze data;A;The purpose of the practice assessment is to test your skills with practice questions.
What is the benefit of using the practice assessment;Prepare for the exam;Data storage;Project management;Cloud storage;A;The benefit of using the practice assessment is to prepare for the exam.
What are the types of distributed denial-of-service (DDOS) attacks;Resource layer attacks, protocol attacks, and volumetric attacks;Password spray, protocol attacks, and man-in-the-middle (MITM) attacks;Password spray, dictionary attack, and resource layer attacks;Dictionary attacks, man-in-the-middle (MITM) attacks, and volumetric attacks;A;The types of distributed denial-of-service (DDOS) attacks are resource layer attacks, protocol attacks, and volumetric attacks.
What can you use in Azure to implement network segmentation based on departments;Virtual networks;Virtual private networks;Azure Bastion;Azure Private Link;A;You can use virtual networks in Azure to implement network segmentation based on departments.
What can you use to connect to Azure virtual machines remotely over RDP and SSH from the Azure portal;Azure Bastion;Azure Web Application Firewall (WAF);Microsoft Entra Identity Protection;Microsoft Defender for Cloud;A;You can use Azure Bastion to connect to Azure virtual machines remotely over RDP and SSH from the Azure portal.
What is the order of processing inbound network security group (NSG) security rules in Azure;AllowVNetInBound, AllowAzureLoadBalancerInBound, DenyAllInBound;DenyAllInBound, AllowAzureLoadBalancerInBound, AllowVNetInBound;AllowAzureLoadBalancerInBound, AllowVNetInBound, DenyAllInBound;DenyAllInBound, AllowVNetInBound, AllowAzureLoadBalancerInBound;A;The order of processing inbound network security group (NSG) security rules in Azure is AllowVNetInBound, AllowAzureLoadBalancerInBound, DenyAllInBound.
Which Azure service provides centralized protection of web apps from common exploits and vulnerabilities;Azure Web Application Firewall (WAF);Azure Key Vault;Microsoft Entra Identity Protection;Microsoft Defender for Cloud;A;Azure Web Application Firewall (WAF) provides centralized protection of web apps from common exploits and vulnerabilities.
